x y
901.5433514261028 692.3835988558228
98.48233832187937 1091.0483109453924
92.46973902223857 1104.0419055617435
1493.1361102391913 389.7791716487531
203.60149800196558 607.6354450354353
100.38017377728877 1078.177297223291
1509.1832441616411 389.628957458616
996.7717711554546 1482.5988777953028
999.845736948966 1505.4073584497917
998.1522950393332 1495.3755851681665
1004.3715086209519 1488.8238304287527
105.23411308818841 1093.1393335463692
1006.6297452185842 1497.3047201158295
889.1590285545068 692.8513291025987
95.74159488260962 1109.2457618414223
592.7019740665363 1200.3552519775692
1507.7227125866596 396.423783277631
1489.8190363499577 391.30198324704486
192.9933413475836 612.5435636216716
95.57131082237703 1101.3253922788201
199.50357767532543 598.3940089318103
199.11716252931336 601.6955904448431
608.2488212497541 1188.705442082169
902.4775534688698 705.2911494620153
1009.8026482395734 1489.2376248320709
1006.2254218328535 1494.4682183036446
984.3935245692633 1497.765324506747
901.4379618447422 702.440676666126
890.4866622235955 695.5170701450177
1520.029693850966 409.2934675708608
193.16859736487484 590.4832049423019
1495.804993917849 407.5128708033227
97.67002072733415 1092.146250292294
604.8196802273303 1177.0340043670346
596.5347426273563 1188.966477718535
102.95603523510536 1110.9250025711237
200.60470208035534 613.3615095470345
125.35042580548179 1102.5180863655626
204.27915367410495 597.973474532444
897.8626236893306 693.6322391181563
1504.4850934061026 380.207615222016
1485.8058170963475 377.2258569003726
615.4219620676422 1202.6409006263145
903.3869589300726 689.0810532653447
585.8723277594803 1203.2433370606125
213.12228268189858 598.7366227280178
1498.4000227687443 382.14107250852663
1004.357943623006 1498.2626211708784
605.8215125342567 1201.4772040807495
885.4379897615343 693.0533714461693
606.2954261516401 1190.584368040146
998.0432566482006 1502.9070503172318
221.10408172516978 587.4257908686758
896.001819026202 708.1150458983669
98.20257302231647 1105.6911351893662
912.9488018554773 688.9107933832504
614.7164487812117 1192.1747324027963
581.7654340533312 1205.4023581352594
184.49866370581537 578.9773316835779
1486.7392995675514 405.6557026611437
